SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
BKT6B38,SDC,SmileDirectClub Inc.,3592430,"$1,796,215 ",0.000130652,Health Care Supplies,US,---
BQLSDK5,KGS,Kodiak Gas Services Inc.,97540,"$1,784,006.60 ",0.000129764,Oil & Gas Equipment & Services,US,---
BZ6VMW7,AC,Associated Capital Group Inc. Class A,48920,"$1,782,644.80 ",0.000129665,Asset Management & Custody Banks,US,---
BDD0V60,PPIH,Perma-Pipe International Holdings Inc.,203835,"$1,771,326.15 ",0.000128842,Industrial Machinery & Supplies & Components,US,---
BDT5ZF6,BH.A,Biglari Holdings Inc.,1924,"$1,768,156 ",0.000128611,Restaurants,US,---
BNVW1R9,SURG,SurgePays Inc.,345312,"$1,747,278.72 ",0.000127093,Wireless Telecommunication Services,US,---
BPT3606,IDN,Intellicheck Inc.,671745,"$1,746,537 ",0.000127039,Application Software,US,---
2738332,PRPH,ProPhase Labs Inc.,408045,"$1,746,432.60 ",0.000127031,Pharmaceuticals,US,---
BD21197,SRTS,Sensus Healthcare Inc.,555562,"$1,727,797.82 ",0.000125676,Health Care Equipment,US,---
BPRW713,FCUV,Focus Universal Inc.,932363,"$1,724,871.55 ",0.000125463,Electronic Equipment & Instruments,US,---
BFYNPH1,VTSI,VirTra Inc.,265149,"$1,723,468.50 ",0.000125361,Aerospace & Defense,US,---
2925792,CONN,Conn's Inc.,411902,"$1,721,750.36 ",0.000125236,Computer & Electronics Retail,US,---
BDFZC26,CVM,CEL-SCI Corp.,1231748,"$1,712,129.72 ",0.000124536,Biotechnology,US,---
B1YWRF2,SCOR,comScore Inc.,2442580,"$1,709,561.74 ",0.000124349,Advertising,US,---
BWTVW67,CDTX,Cidara Therapeutics Inc.,2166543,"$1,698,786.37 ",0.000123566,Biotechnology,US,---
BDTYXN7,CODA,Coda Octopus Group Inc.,222690,"$1,692,444 ",0.000123104,Electronic Equipment & Instruments,US,---
BL64983,MDWT,Midwest Holding Inc.,63674,"$1,675,899.68 ",0.000121901,Life & Health Insurance,US,---
BFMMJ23,FIXX,Homology Medicines Inc.,1395301,"$1,674,361.20 ",0.000121789,Biotechnology,US,---
BYXM5L6,SND,Smart Sand Inc.,860390,"$1,669,156.60 ",0.00012141,Oil & Gas Equipment & Services,US,---
BYVQJ96,AQST,Aquestive Therapeutics Inc.,1017238,"$1,668,270.32 ",0.000121346,Pharmaceuticals,US,---
BPBLY26,NSTS,NSTS Bancorp Inc.,186636,"$1,662,926.76 ",0.000120957,Regional Banks,US,---
2239794,CULP,Culp Inc.,296017,"$1,660,655.37 ",0.000120792,Textiles,US,---
B0146X5,DIT,AMCON Distributing Co.,7756,"$1,659,784 ",0.000120729,Distributors,US,---
BLF7Z85,LYRA,Lyra Therapeutics Inc.,476157,"$1,657,026.36 ",0.000120528,Pharmaceuticals,US,---
BK8WN64,ELA,Envela Corp.,323754,"$1,651,145.40 ",0.0001201,Other Specialty Retail,US,---
BPXYZZ3,DAVE,Dave Inc.,214024,"$1,647,984.80 ",0.00011987,Application Software,US,---
BP5JF56,GOCO,GoHealth Inc. Class A,103499,"$1,644,599.11 ",0.000119624,Insurance Brokers,US,---
BDB2RP9,AIRG,Airgain Inc.,355805,"$1,643,819.10 ",0.000119567,Electronic Components,US,---
BM8FWX7,IMNM,Immunome Inc.,254800,"$1,643,460 ",0.000119541,Biotechnology,US,---
2704292,PDEX,Pro-Dex Inc.,98013,"$1,638,777.36 ",0.000119201,Health Care Equipment,US,---
BLBR8D5,PYXS,Pyxis Oncology Inc.,748923,"$1,632,652.14 ",0.000118755,Biotechnology,US,---
BLGZBT1,KNTE,Kinnate Biopharma Inc.,730663,"$1,629,378.49 ",0.000118517,Biotechnology,US,---
BQQFDM3,BCLI,BrainStorm Cell Therapeutics Inc.,951371,"$1,626,844.41 ",0.000118333,Biotechnology,US,---
BYPCSL5,DARE,Dare Bioscience Inc.,2375133,"$1,625,303.51 ",0.000118221,Pharmaceuticals,US,---
BMYGK29,HYMC,Hycroft Mining Holding Corp.,4608476,"$1,612,966.60 ",0.000117323,Gold,US,---
BMDCQG4,LFT,Lument Finance Trust Inc.,759175,"$1,609,451 ",0.000117068,Mortgage REITs,US,---
2318499,ENZ,Enzo Biochem Inc.,1040908,"$1,602,998.32 ",0.000116598,Health Care Services,US,---
2237680,CRWS,Crown Crafts Inc.,322459,"$1,599,396.64 ",0.000116336,Textiles,US,---
BMWXS28,BDSX,Biodesix Inc.,1017561,"$1,597,570.77 ",0.000116203,Health Care Services,US,---
2816551,FTK,Flotek Industries Inc.,1811795,"$1,592,567.81 ",0.000115839,Specialty Chemicals,US,---
BD3BX23,CODX,Co-Diagnostics Inc.,1279125,"$1,586,115 ",0.00011537,Health Care Equipment,US,---
BD2BZQ2,SELF,Global Self Storage Inc.,319661,"$1,585,518.56 ",0.000115327,Self-Storage REITs,US,---
B83YYY6,ICAD,iCAD Inc.,695170,"$1,584,987.60 ",0.000115288,Health Care Technology,US,---
BM8FWT3,STTK,Shattuck Labs Inc.,731691,"$1,580,452.56 ",0.000114958,Biotechnology,US,---
BLD0Z08,ACHV,Achieve Life Sciences Inc.,318636,"$1,580,434.56 ",0.000114957,Biotechnology,US,---
BK80YJ8,NKTX,Nkarta Inc.,916200,"$1,575,864 ",0.000114624,Biotechnology,US,---
BMTQ314,AXDX,Accelerate Diagnostics Inc.,223456,"$1,566,426.56 ",0.000113938,Health Care Equipment,US,---
BF2G3Y5,AVRO,Avrobio Inc.,1024279,"$1,556,904.08 ",0.000113245,Biotechnology,US,---
BNK9MY5,IPSC,Century Therapeutics Inc.,625729,"$1,551,807.92 ",0.000112875,Biotechnology,US,---
2323352,MLSS,Milestone Scientific Inc.,1447898,"$1,549,250.86 ",0.000112689,Health Care Equipment,US,---
