Date,Open,High,Low,Close,Adj Close,Volume
2010-04-08,117.949997,118.970001,117.599998,118.769997,92.060051,158704000
2010-05-10,115.809998,116.650002,114.910004,116.160004,90.037056,396159600
2010-06-08,105.57,106.830002,104.650002,106.620003,82.642456,357774300
2010-07-08,107.0,107.279999,105.910004,107.160004,83.4562,210842100
2010-08-09,112.919998,113.18,112.32,112.989998,87.996605,120800400
2010-09-08,109.860001,110.849998,109.809998,110.410004,85.987289,149924400
2010-10-08,116.050003,116.860001,115.610001,116.540001,91.247238,177760100
2010-11-08,122.339996,122.690002,121.940002,122.489998,95.905899,156107100
2010-12-08,122.980003,123.379997,122.410004,123.279999,96.524445,138019200
2011-01-10,126.580002,127.160004,126.199997,126.980003,99.94429,122401700
2011-02-08,132.089996,132.639999,131.729996,132.570007,104.344162,99072800
2011-03-08,131.639999,133.0,131.070007,132.580002,104.352005,174615000
2011-04-08,133.910004,133.990005,132.309998,132.860001,105.026642,147945400
2011-05-09,134.190002,135.110001,133.979996,134.720001,106.496986,114104500
2011-06-08,128.759995,129.190002,128.179993,128.419998,101.5168,198696400
2011-07-08,133.830002,135.360001,133.389999,134.399994,106.770752,194100500
2011-08-08,116.910004,120.120003,112.019997,112.260002,89.182159,702263900
2011-09-08,119.57,120.940002,118.769997,119.040001,94.568375,250568200
2011-10-10,117.68,119.629997,117.669998,119.580002,95.488869,230666300
2011-11-08,126.919998,128.020004,125.709999,127.879997,102.116676,224426300
2011-12-08,125.900002,126.18,123.650002,123.949997,98.978439,240862800
2012-01-09,128.0,128.179993,127.410004,128.020004,102.876839,99530200
2012-02-08,134.860001,135.220001,134.309998,135.190002,108.638657,139361400
2012-03-08,136.520004,137.320007,136.240005,137.039993,110.125305,116968900
2012-04-09,138.029999,139.839996,137.839996,138.220001,111.560318,127555900
2012-05-08,136.279999,136.770004,134.919998,136.550003,110.212418,213377700
2012-06-08,131.710007,133.130005,131.289993,133.100006,107.427864,143915400
2012-07-09,135.380005,135.570007,134.699997,135.320007,109.785599,103780500
2012-08-08,139.850006,140.649994,139.809998,140.490005,113.98008,89754700
2012-09-10,144.190002,144.440002,143.460007,143.509995,116.430183,86458500
2012-10-08,145.600006,146.119995,145.309998,145.639999,118.789017,78415400
2012-11-08,139.699997,140.410004,137.929993,138.039993,112.590149,181517300
2012-12-10,142.210007,142.809998,142.149994,142.470001,116.203445,98840700
2013-01-08,145.710007,145.910004,144.979996,145.550003,119.557571,121265100
2013-02-08,151.220001,151.889999,151.220001,151.800003,124.691437,103133700
2013-03-08,155.460007,155.649994,154.660004,155.440002,127.681419,123477800
2013-04-08,155.270004,156.220001,154.75,156.210007,128.884613,86571200
2013-05-08,162.419998,163.389999,162.330002,163.339996,134.76738,97419200
2013-06-10,165.309998,165.399994,164.369995,164.800003,135.97197,105667100
2013-07-08,163.860001,164.389999,163.080002,163.949997,135.986435,108092500
2013-08-08,169.979996,170.179993,168.929993,169.800003,140.838623,102181300
2013-09-09,166.449997,167.729996,166.449997,167.630005,139.038773,87559300
2013-10-08,167.399994,167.619995,165.360001,165.479996,137.9245,178015000
2013-11-08,174.869995,177.309998,174.850006,177.289993,147.767822,136713000
2013-12-09,181.470001,181.669998,181.160004,181.399994,151.193512,70124000
2014-01-08,183.449997,183.830002,182.889999,183.520004,153.790939,96582300
2014-02-10,179.699997,180.070007,179.210007,180.009995,150.849564,92218800
2014-03-10,187.970001,188.229996,187.080002,188.160004,157.679306,74939200
2014-04-08,184.259995,185.399994,183.589996,185.100006,155.799561,112660000
2014-05-08,187.710007,189.050003,187.080002,187.679993,157.971207,93618000
2014-06-09,195.350006,196.050003,195.169998,195.580002,164.620667,65119000
2014-07-08,197.149994,197.220001,195.759995,196.240005,165.967667,108143000
2014-08-08,191.460007,193.369995,190.949997,193.240005,163.43045,117014000
2014-09-08,200.919998,201.210007,200.0,200.589996,169.646622,64146000
2014-10-08,193.369995,196.919998,192.360001,196.639999,167.083328,186461000
2014-11-10,203.380005,204.039993,203.130005,203.979996,173.320084,66319000
2014-12-08,207.520004,208.119995,205.929993,206.610001,175.554794,108588200
2015-01-08,204.009995,206.160004,203.990005,205.899994,175.917068,147217800
2015-02-09,204.770004,205.639999,204.139999,204.630005,174.83197,87219000
2015-03-09,207.740005,208.789993,207.550003,208.360001,178.018814,89818900
2015-04-08,207.550003,208.509995,207.080002,207.979996,178.487366,89351900
2015-05-08,210.880005,211.860001,210.779999,211.619995,181.611206,155877300
2015-06-08,209.639999,209.820007,208.389999,208.479996,178.916473,89063300
2015-07-08,206.419998,206.759995,204.25,204.529999,176.380432,164020100
2015-08-10,209.279999,210.669998,209.279999,210.570007,181.589157,80270700
2015-09-08,195.940002,197.610001,195.169998,197.429993,170.257599,116025700
2015-10-08,198.949997,201.550003,198.589996,201.210007,174.419418,153055200
2015-11-09,209.309998,209.490005,206.949997,208.080002,180.374695,131008700
2015-12-08,206.490005,208.289993,205.779999,206.949997,179.395126,103372400
2016-01-08,195.190002,195.850006,191.580002,191.919998,167.356506,209817200
2016-02-08,185.770004,186.119995,182.800003,185.419998,161.6884,191526700
2016-03-08,199.320007,199.919998,198.210007,198.399994,173.007095,123974900
2016-04-08,205.339996,205.850006,203.869995,204.5,179.24614,95040600
2016-05-09,205.570007,206.399994,205.360001,205.889999,180.464508,74374900
2016-06-08,211.839996,212.520004,211.690002,212.369995,186.144272,66170900
2016-07-08,211.050003,212.940002,210.779999,212.649994,187.359009,133971000
2016-08-08,218.399994,218.520004,217.740005,218.050003,192.116745,39906500
2016-09-08,218.619995,218.940002,218.149994,218.509995,192.522034,74102900
2016-10-10,216.160004,216.699997,215.990005,216.160004,191.413589,51855000
2016-11-08,212.690002,214.770004,212.380005,214.110001,189.598297,106772100
2016-12-08,224.570007,225.699997,224.259995,225.149994,199.374359,99714400
2017-01-09,226.910004,227.070007,226.419998,226.460007,201.71637,46939700
2017-02-08,228.940002,229.389999,228.309998,229.240005,204.192612,51566200
2017-03-08,237.339996,237.639999,236.399994,236.559998,210.71286,78168800
2017-04-10,235.360001,236.259995,234.729996,235.339996,210.538071,67615300
2017-05-08,239.75,239.919998,239.169998,239.660004,214.402832,48385700
2017-06-08,243.770004,244.330002,243.169998,243.779999,218.088623,65950700
2017-07-10,242.110001,242.800003,241.759995,242.369995,217.884583,36663300
2017-08-08,247.509995,248.910004,246.830002,247.259995,222.280609,61719400
2017-09-08,246.539993,247.110001,246.300003,246.580002,221.669312,63832800
2017-10-09,254.630005,254.699997,253.649994,253.949997,229.427734,35803100
2017-11-08,258.470001,259.220001,258.149994,259.109985,234.089417,50469600
2017-12-08,265.160004,265.519989,264.029999,265.51001,239.871445,76563900
2018-01-08,273.309998,274.100006,272.980011,273.920013,248.734268,57319200
2018-02-08,268.01001,268.170013,257.589996,257.630005,233.942047,246449500
2018-03-08,273.549988,274.23999,272.420013,274.100006,248.897705,66901200
2018-04-09,261.369995,264.839996,259.940002,261.0,237.951416,105442900
2018-05-08,266.5,267.329987,265.149994,266.920013,243.348618,67499200
2018-06-08,276.850006,278.25,276.660004,278.190002,253.623367,72139700
2018-07-09,276.549988,277.959991,276.5,277.899994,254.496628,50550400
2018-08-08,285.390015,285.910004,284.940002,285.459991,261.420044,42114600
2018-09-10,288.73999,289.040009,287.880005,288.100006,263.837708,50210900
2018-10-08,287.049988,288.220001,285.5,287.820007,264.774475,87742200
2018-11-08,280.109985,281.220001,279.220001,280.5,258.040527,65584900
2018-12-10,263.369995,265.160004,258.619995,264.070007,242.926056,151445900
2019-01-08,256.820007,257.309998,254.0,256.769989,237.589935,102512600
2019-02-08,268.75,270.579987,267.829987,270.470001,250.266586,75788900
2019-03-08,272.940002,274.649994,272.420013,274.459991,253.958542,85795800
2019-04-08,288.100006,288.910004,287.369995,288.790009,268.395203,53566300
2019-05-08,287.529999,289.429993,286.869995,287.529999,267.224152,91568300
2019-06-10,289.369995,290.820007,288.869995,288.970001,268.562469,60799100
2019-07-08,297.01001,298.26001,296.220001,296.820007,277.199768,45841800
2019-08-08,289.619995,293.619995,289.01001,293.619995,274.211273,87713900
2019-09-09,299.140015,299.23999,297.160004,298.200012,278.488525,51260300
2019-10-08,291.040009,291.850006,288.48999,288.529999,270.702087,95708100
2019-11-08,307.799988,309.0,307.029999,308.940002,289.851044,49032100
2019-12-09,314.440002,315.179993,313.799988,313.880005,294.485779,34838500
2020-01-08,322.940002,325.779999,322.670013,324.450012,305.899353,68296000
2020-02-10,331.230011,334.75,331.190002,334.679993,315.544312,42070000
2020-03-09,275.299988,284.190002,273.450012,274.230011,258.550659,309417300
2020-04-08,267.959991,276.0,265.25,274.029999,259.881348,153774500
2020-05-08,291.089996,292.950012,289.859985,292.440002,277.34079,76452400
2020-06-08,320.220001,323.410004,319.630005,323.200012,306.512665,73641200
2020-07-08,314.609985,316.299988,312.700012,316.179993,301.174561,54638600
2020-08-10,335.059998,335.769989,332.959991,335.570007,319.644409,44282100
2020-09-08,336.709991,342.640015,332.880005,333.209991,317.396332,114465300
2020-10-08,342.850006,343.850006,341.859985,343.779999,328.775513,45242500
2020-11-09,363.970001,364.380005,354.059998,354.559998,339.085052,172304200
2020-12-08,367.720001,370.779999,367.670013,370.170013,354.013733,42458900
2021-01-08,380.589996,381.48999,377.100006,381.26001,366.174011,71677200
2021-02-08,389.269989,390.559998,388.350006,390.51001,375.057983,38365200
2021-03-08,384.660004,387.679993,381.420013,381.720001,366.615814,123149200
2021-04-08,407.929993,408.579987,406.929993,408.519989,393.640381,57863100
2021-05-10,422.5,422.73999,417.809998,417.940002,402.717285,81852400
2021-06-08,423.109985,423.209991,420.320007,422.279999,406.899231,47134300
2021-07-08,428.779999,431.730011,427.519989,430.920013,416.582977,97595200
2021-08-09,442.459991,442.799988,441.309998,442.130005,427.420013,41222600
2021-09-08,450.890015,451.670013,448.859985,450.910004,435.907867,56181900
2021-10-08,439.480011,439.890015,437.190002,437.859985,424.648132,74557400
2021-11-08,469.700012,470.230011,468.200012,468.929993,454.780609,50405200
2021-12-08,468.700012,470.0,466.829987,469.519989,455.352814,72238800
2022-01-10,462.700012,465.73999,456.600006,465.51001,453.049957,119362000
2022-02-08,446.730011,451.920013,445.220001,450.940002,438.869904,81012000
2022-03-08,419.619995,427.209991,415.119995,416.25,405.108459,164772700
2022-04-08,447.970001,450.630005,445.940002,447.570007,436.943329,79272700
2022-05-09,405.100006,406.410004,396.5,398.170013,388.716248,155586100
2022-06-08,413.929993,415.820007,410.380005,411.220001,401.456421,64350000
2022-07-08,387.269989,390.640015,385.660004,388.670013,381.080902,72397800
2022-08-08,415.25,417.619995,411.829987,412.98999,404.925995,53886100
2022-09-08,395.390015,400.859985,394.119995,400.380005,392.562225,80821700
2022-10-10,363.959991,364.209991,357.670013,360.019989,354.440308,76042800
2022-11-08,381.109985,385.119995,377.720001,382.0,376.079681,84641100
2022-12-08,395.140015,397.359985,393.269989,396.23999,390.098969,60737900
2023-01-09,390.369995,393.700012,387.670013,387.859985,383.602295,73978100
2023-02-08,413.130005,414.529999,409.929993,410.649994,406.14209,76227500
2023-03-08,398.390015,399.709991,396.589996,398.920013,394.540894,74746600
2023-04-10,406.609985,409.690002,405.970001,409.609985,406.659637,63681000
2023-05-08,412.970001,413.23999,411.279999,412.73999,409.76712,50046800
2023-06-08,426.619995,429.600006,425.820007,429.130005,426.039093,61952800
2023-07-10,438.179993,439.839996,437.589996,439.660004,438.114624,62443500
2023-08-08,448.079987,450.700012,445.269989,448.75,447.172668,71361300
2023-09-08,444.899994,447.109985,444.529999,445.519989,443.95401,61659700
2023-10-09,427.579987,432.880005,427.01001,432.290009,432.290009,80374400
